ID,Dataset,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion
253,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,90%,90%
254,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,90%,100%
255,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,90%,110%
256,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,100%,90%
257,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,100%,100%
258,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,100%,110%
259,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,110%,90%
260,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,110%,100%
261,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,110%,110%
262,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,90%,90%
263,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,90%,100%
264,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,90%,110%
265,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,100%,90%
266,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,100%,100%
267,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,100%,110%
268,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,110%,90%
269,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,110%,100%
270,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,110%,110%
271,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,90%,90%
272,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,90%,100%
273,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,90%,110%
274,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,100%,90%
275,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,100%,100%
276,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,100%,110%
277,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,110%,90%
278,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,110%,100%
