ID,Dataset,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion,avg_sam_mask_AP_50_95
206,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,110%,100%,0.6435573627857922
207,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,110%,110%,0.6437917325057009
208,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,90%,90%,0.6568028700395114
209,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,90%,100%,0.6857970711227452
210,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,90%,110%,0.695652246213736
211,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,100%,90%,0.6850595092678051
212,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,100%,100%,0.7111439987271633
213,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,100%,110%,0.681637179288193
214,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,110%,90%,0.6410742600676617
215,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,110%,100%,0.6412690517515555
216,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,110%,110%,0.64372337105728
217,powder,YOLOv8 Nano,True,True,3,Random,0%,90%,90%,0.6726464096544118
218,powder,YOLOv8 Nano,True,True,3,Random,0%,90%,100%,0.6748139829865577
219,powder,YOLOv8 Nano,True,True,3,Random,0%,90%,110%,0.6846180985487168
220,powder,YOLOv8 Nano,True,True,3,Random,0%,100%,90%,0.6774533468658772
221,powder,YOLOv8 Nano,True,True,3,Random,0%,100%,100%,0.664812471244896
222,powder,YOLOv8 Nano,True,True,3,Random,0%,100%,110%,0.6830691522385396
223,powder,YOLOv8 Nano,True,True,3,Random,0%,110%,90%,0.614089078282144
224,powder,YOLOv8 Nano,True,True,3,Random,0%,110%,100%,0.6169035653356165
225,powder,YOLOv8 Nano,True,True,3,Random,0%,110%,110%,0.6310831565603644
226,powder,YOLOv8 Nano,True,True,3,Random,5%,90%,90%,0.6754890345099697
227,powder,YOLOv8 Nano,True,True,3,Random,5%,90%,100%,0.6829529124464995
228,powder,YOLOv8 Nano,True,True,3,Random,5%,90%,110%,0.6633391862718984
229,powder,YOLOv8 Nano,True,True,3,Random,5%,100%,90%,0.6521806514381231
230,powder,YOLOv8 Nano,True,True,3,Random,5%,100%,100%,0.661866378575549
231,powder,YOLOv8 Nano,True,True,3,Random,5%,100%,110%,0.6633159845013797
232,powder,YOLOv8 Nano,True,True,3,Random,5%,110%,90%,0.6588459864971574
233,powder,YOLOv8 Nano,True,True,3,Random,5%,110%,100%,0.6229324191684038
234,powder,YOLOv8 Nano,True,True,3,Random,5%,110%,110%,0.6292453943076832
235,powder,YOLOv8 Nano,True,True,3,Random,10%,90%,90%,0.6846492334405092
236,powder,YOLOv8 Nano,True,True,3,Random,10%,90%,100%,0.6799450676004521
237,powder,YOLOv8 Nano,True,True,3,Random,10%,90%,110%,0.6726441679929459
238,powder,YOLOv8 Nano,True,True,3,Random,10%,100%,90%,0.6609337911906388
239,powder,YOLOv8 Nano,True,True,3,Random,10%,100%,100%,0.662511527318408
240,powder,YOLOv8 Nano,True,True,3,Random,10%,100%,110%,0.6625702696577902
241,powder,YOLOv8 Nano,True,True,3,Random,10%,110%,90%,0.6321375170193674
242,powder,YOLOv8 Nano,True,True,3,Random,10%,110%,100%,0.6392318357865058
243,powder,YOLOv8 Nano,True,True,3,Random,10%,110%,110%,0.6654959385568398
244,powder,YOLOv8 Nano,True,True,3,Random,15%,90%,90%,0.698413707100782
245,powder,YOLOv8 Nano,True,True,3,Random,15%,90%,100%,0.6835750423011673
246,powder,YOLOv8 Nano,True,True,3,Random,15%,90%,110%,0.680940282322587
247,powder,YOLOv8 Nano,True,True,3,Random,15%,100%,90%,0.6594736790668076
248,powder,YOLOv8 Nano,True,True,3,Random,15%,100%,100%,0.6615408835675387
249,powder,YOLOv8 Nano,True,True,3,Random,15%,100%,110%,0.6668385817821398
250,powder,YOLOv8 Nano,True,True,3,Random,15%,110%,90%,0.6219934603668275
251,powder,YOLOv8 Nano,True,True,3,Random,15%,110%,100%,0.6405497120268538
252,powder,YOLOv8 Nano,True,True,3,Random,15%,110%,110%,0.6398255754135831
253,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,90%,90%,0.5993131915878405
254,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,90%,100%,0.6424733744858105
255,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,90%,110%,0.6235759099258833
256,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,100%,90%,0.5439719218421551
257,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,100%,100%,0.5333450775135146
258,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,100%,110%,0.5642893220669404
259,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,110%,90%,0.4701014668129061
260,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,110%,100%,0.46777182142733204
261,powder,YOLOv8 Nano,True,True,3,Distance Max,0%,110%,110%,0.48888024268676095
262,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,90%,90%,0.6395828469505244
263,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,90%,100%,0.6407305921961862
264,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,90%,110%,0.6559960396107215
265,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,100%,90%,0.5741139221242573
266,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,100%,100%,0.6118169076600177
267,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,100%,110%,0.6611668779705889
268,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,110%,90%,0.5693020953053366
269,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,110%,100%,0.5677431981178696
270,powder,YOLOv8 Nano,True,True,3,Distance Max,5%,110%,110%,0.5664121080207093
271,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,90%,90%,0.6896093227065669
272,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,90%,100%,0.6461937763733928
273,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,90%,110%,0.6760643508822236
274,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,100%,90%,0.5372411273650102
275,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,100%,100%,0.6273980994913052
276,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,100%,110%,0.5987274337089056
277,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,110%,90%,0.6498905661072272
